Date,Category,Notes,Link,Confidence
3/15/2020,School Closed,All Kern County schools to close - News - Taft Midway Driller,https://www.taftmidwaydriller.com/news/20200315/all-kern-county-schools-to-close,1
3/16/2020,Stay at Home Order,CLOSED: Here is a list of local... - KGET - TV 17 Bakersfield,https://www.facebook.com/KGET17News/posts/closed-here-is-a-list-of-local-restaurants-and-businesses-who-have-closed-due-to/10157297036851314/,-1
4/2/2020,Gatherings Disallowed,ORDER OF THE HEALTH OFFICER - Kern County Public,https://kernpublichealth.com/wp-content/uploads/2020/04/Order-of-the-Health-Officer.pdf,3
5/21/2020,Business Opened,We're Open Again! Kern County now open for business!,https://www.turnto23.com/open/were-open-again-kern-county-now-open-for-business,1
6/18/2020,Mask Mandate,New state order requires face masks in public | KGET 17,https://www.kget.com/health/coronavirus/state-now-requiring-that-residents-use-face-coverings-at-all-times-when-outside-of-their-residence/,3
7/1/2020,Business Closed,"Newsom orders new shutdown of restaurants, other indoor",https://www.sfchronicle.com/politics/article/Newsom-orders-shutdown-of-indoor-business-in-19-15380217.php,-1
7/1/2020,Fourth of July Start,3 days before/after holiday for approximation,,
7/7/2020,Fourth of July End,3 days before/after holiday for approximation,,
8/28/2020,Stay at Home Order Lifted,Turns to Tier system,https://www.gov.ca.gov/2020/08/28/governor-newsom-unveils-blueprint-for-a-safer-economy-a-statewide-stringent-and-slow-plan-for-living-with-covid-19/,
8/28/2020,Purple Tier,Kern County starts in purple tier,,
9/4/2020,Labor Day Start,3 days before/after holiday for approximation,,
9/10/2020,Labor Day End,3 days before/after holiday for approximation,,
10/13/2020,Red Tier,,https://kernpublichealth.com/latest-news/,
10/13/2020,Business Opened,These businesses could reopen if Kern County enters the red,https://www.bakersfield.com/news/these-businesses-could-reopen-if-kern-county-enters-the-red-tier-on-tuesday/article_a66905a2-09a7-11eb-9667-73acd435e024.html,1
10/15/2020,Schools Open,Some schools open in October,https://www.bcsd.com/apps/pages/index.jsp?uREC_ID=1075962&type=d&pREC_ID=1845321,
11/16/2020,Business Closed,Moves back to purple tier,https://bakersfieldnow.com/news/coronavirus/kern-and-other-counties-move-back-to-purple-tier,
11/16/2020,Purple Tier,,https://bakersfieldnow.com/news/coronavirus/kern-and-other-counties-move-back-to-purple-tier,
11/23/2020,Thanksgiving Start,3 days before/after holiday for approximation,,
11/29/2020,Thanksgiving End,3 days before/after holiday for approximation,,
12/6/2020,Regional Stay at Home Order,New stay-at-home order to apply to Kern late Sunday night,https://www.tehachapinews.com/news/new-stay-at-home-order-to-apply-to-kern-late-sunday-night/article_b6144a56-3770-11eb-891a-2f517b0be9e1.html,3
12/12/2020,School Closed,Schools cant stay staffed,https://www.bakersfield.com/news/schools-are-allowed-to-stay-open-when-covid-19-surges-but-have-trouble-staffing-them/article_2b00ce14-3bec-11eb-8c22-1b8c076ba547.html,1
12/18/2020,Christmas Start,Approximation for Holiday days,,
12/28/2020,New Years Start,3 days before/after holiday for approximation,,
12/31/2020,Christmas End,Approximation for Holiday days,,
1/4/2021,New Years End,3 days before/after holiday for approximation,,
1/25/2021,Regional Stay at Home Order Lifted,"Stay-at-home order nixed in Kern County, all regions - KVHD",https://www.kvhd.org/news/20,3
2/12/2021,School Opened,State launches interactive map featuring school reopening,https://bakersfieldnow.com/news/coronavirus/state-launches-interactive-map-featuring-school-reopening-data,1
3/22/2021,School Opened,State halves desk-spacing rule. More people allowed to come in person ,https://calmatters.org/newsletters/whatmatters/2021/03/california-school-reopening-spacing-requirements/,1
3/23/2021,Red Tier,,https://kernpublichealth.com/latest-news/,
3/26/2021,Buisness Opening,Firestone Grill reopens as red tier COVID-19 guidelines allow,https://www.kget.com/back-in-business/firestone-grill-reopens-as-red-tier-covid-19-guidelines-allow-dine-in-seating/,-1
4/13/2021,Orange Tier,,https://kernpublichealth.com/latest-news/,
4/13/2021,Buisness Opening,Fewer restrictions coming to Kern County as COVID-19 cases,https://www.kget.com/health/coronavirus/less-restrictions-coming-to-kern-county-as-covid-19-cases-decline/,-1
6/15/2021,Mask “Mandate Lifted”,Statewide ,https://covid19.ca.gov/safely-reopening/,