Dates,Category,Notes,Link
3/13/2020,School Closure,County ,https://www.nbcsandiego.com/news/local/what-has-happened-in-a-year-a-month-by-month-look-back-at-the-coronavirus-pandemic-in-san-diego-county/2545774/
3/19/2020,Stay at Home Order,State ,https://cdn.jamanetwork.com/ama/content_public/journal/jama/938543/joi200088supp1_prod_1598047378.87417.pdf?Expires=1626717312&Signature=aPZX4OSpCGEPJ-bqx71tkfMxRXRI37pg3vwka0GYVrL-5wjvVJkamoQB6eprmMR6SqHu2RwhEIDn-fuYv1yolvtgNiDUPiSKnAmx~-I-~E6RBJzMddX9u0q8qOfrcjyg0CSDlXX4ITRZyMWs28te1ApIMfv0g8fRDdu6rkCUwIfX07IYT4KRnpGgQJcA~FVC6Q0NTs2tMiEPhZKmRAwAMcZ1Xp4b9DSrkQcNWNwLs7ho28SLkyuOgJsfg7QUfwhfUZVL2Jav4uhoVHJyWMTgjkhX26gQLYLTP7DYbT5odepQZ~0UtYSRMlssZdP~aw3EqngAkhrykgbjF1Pr6A34Lw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA
4/9/2020,Gatherings Disallowed,"The new directive means that gatherings of 10 people or less are no longer allowed in San Diego County, unless they live in same household.",https://www.cbs8.com/article/news/health/coronavirus/san-diego-county-says-all-gatherings-prohibited-amid-coronavirus-pandemic/509-21b5fba5-d1e9-4c1a-836a-d3d27ab0b274
5/1/2020,Mask Mandate,County ,https://www.nbcsandiego.com/news/local/what-has-happened-in-a-year-a-month-by-month-look-back-at-the-coronavirus-pandemic-in-san-diego-county/2545774/
8/28/2020,Red Tier,San Diego is one of few counties that start in Red Tier,https://www.nbcsandiego.com/news/local/august-2020-san-diego-gets-off-the-watch-list-and-onto-the-red-tier-schools-start-distance-learning/2394113/
11/11/2020,Purple Tier,,https://www.alzsd.org/coronavirus-in-san-diego-county-important-updates/
1/24/2021,Stay at Home Order Lifted,"Officials with the California Department of Public Health (CDPH) Monday ended the Regional Stay-at-Home Order, lifting the order for all regions statewide,",https://www.cbs8.com/article/news/health/coronavirus/stay-at-home-order-lifted-in-san-diego/509-60d51e30-c40d-4700-8b00-55eab061af18
3/16/2021,Red Tier,,https://www.alzsd.org/coronavirus-in-san-diego-county-important-updates/
4/7/2021,Orange Tier,,https://www.kpbs.org/news/2021/apr/06/san-diego-county-moving-orange-tier-wednesday-vacc/
4/12/2021,School Opening,"San Diego Schools reopen. Some schools 4 days a week, some hybrid 2 days a week. Online still optional.",https://www.nbcsandiego.com/news/local/some-students-in-san-diego-county-return-to-in-person-learning-monday/2573683/
6/9/2021,Yellow Tier,,https://www.alzsd.org/coronavirus-in-san-diego-county-important-updates/
6/15/2021,Mask “Mandate Lifted”,State wide ,https://www.sandiegouniontribune.com/news/health/story/2021-05-17/state-stands-pat-on-mask-mandate-until-june-15