Date,Opening/Closure,Notes,Links
3/19/2020,Gatherings Disallowed | School Closure,"No more than 10 groups of people, partial closure of non-necessary businesses,  people shall not visit nursing homes or retirement or long-term care facilities unless to provide critical assistance, school closure",https://www.kxan.com/news/coronavirus/365-days-of-covid-how-the-coronavirus-in-texas-unfolded-one-year-after-the-first-case/
3/22/2020,Minor Closure,"Order to expand hospital bed capacity as the state responds to the COVID-19 virus….all licensed health care professionals and facilities to postpone all surgeries and procedures that are not immediately, medically necessary to correct a serious medical condition or to preserve the life of a patient who without immediate performance of the surgery or procedure would be at risk for serious adverse medical consequences or death, as determined by the patient’s physician",https://www.kxan.com/news/coronavirus/365-days-of-covid-how-the-coronavirus-in-texas-unfolded-one-year-after-the-first-case/
3/23/2020,Buisness Closure,Most Texas counties enact stay at home order and closure of all non- essential businesses,https://www.kxan.com/news/coronavirus/365-days-of-covid-how-the-coronavirus-in-texas-unfolded-one-year-after-the-first-case/
3/27/2020,Minor Closure,Gov mandates quarantine for anyone traveling to Texas from either New Orleans or the New York Tri-State area. ,https://www.kxan.com/news/coronavirus/365-days-of-covid-how-the-coronavirus-in-texas-unfolded-one-year-after-the-first-case/
3/30/2020,Minor Closure,"Gov extends quarantine for anyone traveling to Texas from any of the following: State of California, State of Louisiana, State of Washington, City of Atlanta, City of Chicago, City of Detroit, and City of Miami.
",https://www.kxan.com/news/coronavirus/365-days-of-covid-how-the-coronavirus-in-texas-unfolded-one-year-after-the-first-case/
4/2/2020,Stay at Home Order,Stay at home order for all non-essential activities ,https://www.texastribune.org/2020/04/03/texas-under-stay-home-order-its-rules-match-those-other-states/
4/30/2020,Stay at Home Order Lifted,Stay at home order released,https://www.nbcnews.com/health/health-news/live-blog/2020-04-27-coronavirus-news-n1193086/ncrd1193706#blogHeader
5/1/2020,Buisness Opened,"The first phase of the Governor Abbott’s plan to Open Texas begins, allowing retail stores, restaurants, malls, and movie theaters to reopen at 25% capacity.",https://www.kxan.com/news/coronavirus/365-days-of-covid-how-the-coronavirus-in-texas-unfolded-one-year-after-the-first-case/
5/6/2020,Minor Opening,"Governor Greg Abbott issued a new Executive Order to expand openings of certain businesses and activities.   Per the Governor’s new Order, wedding venues and services required to conduct weddings may immediately open. Weddings held indoors other than at a church, congregation, or house of worship must limit occupancy to 25%.",https://gov.texas.gov/news/post/governor-abbott-issues-executive-order-to-expand-openings-of-certain-businesses-and-activities
5/7/2020,Minor Opening,"Governor Greg Abbott issued Executive Order GA-22 to allow the immediate reopening of cosmetology salons, hair salons, barber shops, nail salons or shops, and other establishments where licensed cosmetologists or barbers practice their trade. In addition, the Order amended all previous Orders to eliminate confinement in jail for violation of the orders. No jurisdiction can confine a person in jail for violating any order by local officials, and the new Executive Order supersedes any order by local officials in response to the COVID-19 pandemic that would allow confinement in jail",https://gov.texas.gov/uploads/files/press/EO-GA-22_confinement_COVID-19.pdf
5/13/2020,Minor Opening,"On Tuesday, the office of the Texas Attorney General Ken Paxton wrote letters to officials in San Antonio, Austin, Dallas warning that their local stay at home orders that impose greater restrictions than Governor Abbott’s Executive Order GA-21 are unenforceable. Among the local mandates identified in the letters as unlawful are the requirement to wear masks in public, the requirement to shelter in place, and restrictions on essential or reopened services. Additionally, the letter stated that the San Antonio mandate requiring essential businesses to provide masks to employees is invalid.",https://gov.texas.gov/uploads/files/press/EO-GA-21_expanding_Open_Texas_COVID-19.pdf
5/18/2020,Buisness Opened,"The next wave of business reopenings under Governor Abbott’s Executive Order GA-21 began today, allowing gyms, nonessential manufacturing, and work offices to reopen at 25% capacity with social distancing guidelines.  The Governor announced that childcare facilities, youth club services, and massage, personal care, and beauty services can reopen starting immediately. Gyms / Exercise Facilities, Manufacturers, Office-Based Employers, Child Care Centers, Massage and Personal-Care Centers, Youth Clubs open",https://www.nbcnews.com/health/health-news/live-blog/2020-04-27-coronavirus-news-n1193086/ncrd1193706#blogHeader
6/3/2020,Buisness Opened,Phase 3 of opening begins,https://www.nbcnews.com/health/health-news/live-blog/2020-04-27-coronavirus-news-n1193086/ncrd1193706#blogHeader
6/26/2020,Minor Closure,On June 26 Governor Abbott signed Executive Order GA-28 temporarily halting the reopening of Texas. The Order addresses the sustained positivity rate of over 10% and a continued increase in hospitalizations across the State., https://www.nbcnews.com/health/health-news/live-blog/2020-04-27-coronavirus-news-n1193086/ncrd1193706#blogHeader
7/2/2020,Mask Mandate,"On July 2, Governor Abbott issued Executive Order GA-29 (the Order) relating to the use of face coverings. The Order requires every person to wear a face covering when inside commercial buildings and outdoor areas where social distancing is not possible and is applicable to every Texas county with 20 or more positive cases.",https://www.nbcnews.com/health/health-news/live-blog/2020-04-27-coronavirus-news-n1193086/ncrd1193706#blogHeader
10/14/2020,Minor Opening,Bars open with 50% occupancy,https://www.nbcnews.com/health/health-news/live-blog/2020-04-27-coronavirus-news-n1193086/ncrd1193706#blogHeader
3/2/2021,Buisness Opened,Business’ allowed to fully open,https://www.nbcnews.com/health/health-news/live-blog/2020-04-27-coronavirus-news-n1193086/ncrd1193706#blogHeader
3/10/2021,Mask Mandate Lifted,Masks no longer required statewide,https://www.nbcnews.com/health/health-news/live-blog/2020-04-27-coronavirus-news-n1193086/ncrd1193706#blogHeader