Date,Opening/Closure,Notes,Links,
3/19/2020,Minor Closure,"No more than 10 groups of people, partial closure of non-necessary businesses,  people shall not visit nursing homes or retirement or long-term care facilities unless to provide critical assistance, school closure",https://gov.texas.gov/uploads/files/press/EO-GA_08_COVID-19_preparedness_and_mitigation_FINAL_03-19-2020_1.pdf,
3/22/2020,Minor Closure,"Order to expand hospital bed capacity as the state responds to the COVID-19 virus….all licensed health care professionals and facilities to postpone all surgeries and procedures that are not immediately, medically necessary to correct a serious medical condition or to preserve the life of a patient who without immediate performance of the surgery or procedure would be at risk for serious adverse medical consequences or death, as determined by the patient’s physician",,
3/23/2020,Major Closure,Most Texas counties enact stay at home order and closure of all non- essential businesses,,
3/27/2020,Minor Closure,Gov mandates quarantine for anyone traveling to Texas from either New Orleans or the New York Tri-State area. ,,
3/30/2020,Minor Closure,"Gov extends quarantine for anyone traveling to Texas from any of the following: State of California, State of Louisiana, State of Washington, City of Atlanta, City of Chicago, City of Detroit, and City of Miami.
",,
4/2/2020,Major Closure,Stay at home order for all non-essential activities ,,
5/30/20,Major Opening,Stay at home order released,,
5/1/2020,Major Opening,"The first phase of the Governor Abbott’s plan to Open Texas begins, allowing retail stores, restaurants, malls, and movie theaters to reopen at 25% capacity.",,
5/6/2020,Minor Opening,"Governor Greg Abbott issued a new Executive Order to expand openings of certain businesses and activities.   Per the Governor’s new Order, wedding venues and services required to conduct weddings may immediately open. Weddings held indoors other than at a church, congregation, or house of worship must limit occupancy to 25%.",https://gov.texas.gov/news/post/governor-abbott-issues-executive-order-to-expand-openings-of-certain-businesses-and-activities,
5/7/2020,Minor Opening,"Governor Greg Abbott issued Executive Order GA-22 to allow the immediate reopening of cosmetology salons, hair salons, barber shops, nail salons or shops, and other establishments where licensed cosmetologists or barbers practice their trade. In addition, the Order amended all previous Orders to eliminate confinement in jail for violation of the orders. No jurisdiction can confine a person in jail for violating any order by local officials, and the new Executive Order supersedes any order by local officials in response to the COVID-19 pandemic that would allow confinement in jail",https://gov.texas.gov/uploads/files/press/EO-GA-22_confinement_COVID-19.pdf,
5/13/2020,Minor Opening,"On Tuesday, the office of the Texas Attorney General Ken Paxton wrote letters to officials in San Antonio, Austin, Dallas warning that their local stay at home orders that impose greater restrictions than Governor Abbott’s Executive Order GA-21 are unenforceable. Among the local mandates identified in the letters as unlawful are the requirement to wear masks in public, the requirement to shelter in place, and restrictions on essential or reopened services. Additionally, the letter stated that the San Antonio mandate requiring essential businesses to provide masks to employees is invalid.",https://gov.texas.gov/uploads/files/press/EO-GA-21_expanding_Open_Texas_COVID-19.pdf,
5/18/2020,Major Opening,"The next wave of business reopenings under Governor Abbott’s Executive Order GA-21 began today, allowing gyms, nonessential manufacturing, and work offices to reopen at 25% capacity with social distancing guidelines.  The Governor announced that childcare facilities, youth club services, and massage, personal care, and beauty services can reopen starting immediately. Gyms / Exercise Facilities, Manufacturers, Office-Based Employers, Child Care Centers, Massage and Personal-Care Centers, Youth Clubs open",,
5/22/2020,Minor Opening,"Governor Abbott issued Executive Order GA-24 ending air travel restrictions related to the COVID-19 pandemic. The Order immediately terminates all restrictions in the Governor's previous Executive Order GA-20 that mandated temporary quarantines for air travelers arriving from the following places: California; Connecticut; New York; New Jersey; Washington; Atlanta, Georgia; Chicago, Illinois; Detroit, Michigan; or Miami, Florida.",,
5/22/2020,Minor Opening,"Rodeo and Equestrian Events, Bowling Alleys, Bingo Halls, Simulcast Racing, and Skating Rinks, Bars, Aquariums and Natural Caverns open",,
6/12/2020,Minor Opening,"Restaurants may expand their occupancy levels to 75%.
Counties with 10 or less active COVID-19 cases may expand their occupancy limits to 75%",,
6/24/2020,Minor Closure,"Governor Abbott issued a proclamation amending Executive Order GA-26 relating to the reopening of Texas. Per the proclamation, county judges and mayors may now, in consultation with local public health authorities, impose additional restrictions on outdoor gatherings of more than 100 people. This is a substantive decrease from the previous order, which allowed restrictions on outdoor gatherings of 500 or more people.",,
6/29/2020,Minor Closure,On June 26 Governor Abbott signed Executive Order GA-28 temporarily halting the reopening of Texas. The Order addresses the sustained positivity rate of over 10% and a continued increase in hospitalizations across the State.,,
7/6/2020,Major Closure,"On July 2, Governor Abbott issued Executive Order GA-29 (the Order) relating to the use of face coverings. The Order requires every person to wear a face covering when inside commercial buildings and outdoor areas where social distancing is not possible and is applicable to every Texas county with 20 or more positive cases.",,
10/14/20,Minor Opening,Bars open with 50% occupancy,,